Netid State      Recv-Q Send-Q                                                                            Local Address:Port         Peer Address:Port  Process
u_str ESTAB      0      0                                                                                             * 658736                  * 658735       
u_str ESTAB      0      0                                                                                             * 41833                   * 41834        
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 38366                   * 38365        
u_str ESTAB      0      0                                                                                             * 30832                   * 30833        
u_str ESTAB      0      0                                                                            /run/user/1000/bus 30238                   * 25479        
u_dgr ESTAB      0      0                                                                                             * 16910                   * 16909        
u_str ESTAB      0      0                                                                                             * 221226                  * 220475       
u_str ESTAB      0      0                                                                                             * 38101                   * 37641        
u_str ESTAB      0      0                                                                                             * 36715                   * 37548        
u_str ESTAB      0      0                                                                                             * 36673                   * 33290        
u_str ESTAB      0      0                                                                                             * 366101                  * 366102       
u_str ESTAB      0      0                                                                                             * 39159                   * 40070        
u_str ESTAB      0      0                                                                                             * 38916                   * 37678        
u_str ESTAB      0      0                                                                                             * 37500                   * 37501        
u_str ESTAB      0      0                                                                                             * 364496                  * 364495       
u_str ESTAB      0      0                                                                                             * 36854                   * 36855        
u_str ESTAB      0      0                                                                                             * 36848                   * 36849        
u_str ESTAB      0      0                                                                                             * 37988                   * 33233        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 33122                   * 37415        
u_str ESTAB      0      0                                                                                             * 16944                   * 979          
u_str ESTAB      0      0                                                                         /run/pcscd/pcscd.comm 737496                  * 737495       
u_str ESTAB      0      0                                                                                             * 658483                  * 658484       
u_str ESTAB      4      0                                                                                             * 363294                  * 363295       
u_str ESTAB      0      0                                                                                             * 33499                   * 37772        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 37672                   * 37671        
u_str ESTAB      0      0                                                                                             * 33362                   * 36717        
u_str ESTAB      0      0                                                                                             * 365908                  * 365907       
u_str ESTAB      0      0                                                                                             * 30987                   * 31789        
u_dgr ESTAB      0      0                                                                                             * 17074                   * 466          
u_str ESTAB      0      0                                                                                             * 656661                  * 656660       
u_str ESTAB      0      0                                                                                             * 398199                  * 398200       
u_str ESTAB      0      0                                                                                             * 368461                  * 368460       
u_str ESTAB      0      0                                                                                             * 364926                  * 364927       
